timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,etiqueta
1759632530.3228292,2825809,775632,-5249546,-4514889,-2014991,-3681040,-5177337,8388607,contraccion
1759632530.322938,2815307,764913,-5264397,-4529014,-2028005,-3691186,-5191456,8388607,contraccion
1759632530.323046,2808494,759136,-5273709,-4537317,-2035067,-3695259,-5199481,8388607,contraccion
1759632530.323154,2804478,757181,-5278842,-4541194,-2037602,-3694782,-5202978,8388607,contraccion
1759632530.3232622,2798276,752270,-5287322,-4548542,-2043790,-3697964,-5210199,8388607,contraccion
1759632530.323371,2789358,743932,-5299533,-4559835,-2053907,-3705169,-5221462,8388607,contraccion
1759632530.323479,2778794,733201,-5314444,-4574064,-2067021,-3715411,-5235703,8388607,contraccion
1759632530.323588,2771929,727368,-5323832,-4582349,-2074182,-3719584,-5243839,8388607,contraccion
1759632530.323696,2767888,725280,-5329051,-4586169,-2076804,-3719190,-5247361,8388607,contraccion
1759632530.3238049,2761773,720246,-5337567,-4593542,-2082995,-3722494,-5254577,8388607,contraccion
1759632530.3239138,2752979,711879,-5349705,-4604757,-2093107,-3729691,-5265756,8388607,contraccion
1759632530.3826685,2742521,701184,-5364544,-4618843,-2106113,-3739837,-5279958,8388607,contraccion
1759632530.3827765,2735654,695370,-5373932,-4627053,-2113080,-3744007,-5288066,8388607,contraccion
1759632530.3828845,2731533,693274,-5379209,-4630887,-2115564,-3743666,-5291676,8388607,contraccion
1759632530.382993,2725259,688168,-5387858,-4638343,-2121786,-3747065,-5299037,8388607,contraccion
1759632530.383101,2716353,679708,-5400226,-4649725,-2131989,-3754422,-5310328,8388607,contraccion
1759632530.3832097,2705850,668981,-5415127,-4663942,-2145077,-3764639,-5324504,8388607,contraccion
1759632530.383318,2699025,663102,-5424541,-4672201,-2152121,-3768706,-5332557,8388607,contraccion
1759632530.3834262,2695060,660956,-5429807,-4676067,-2154622,-3768217,-5336112,8388607,contraccion
1759632530.383536,2688912,655882,-5438380,-4683456,-2160774,-3771508,-5343429,8388607,contraccion
